case,filename,xgb_probability,body_length,header_length,received_count,attachment_count,multipart,html_present,plain_text_present,email_length,subject_length,subject_word_count,subject_exclamation_count,subject_question_count,subject_uppercase_ratio,from_present,to_present,cc_present,bcc_present,reply_to_present,date_present,message_id_present,from_count,to_count,cc_count,bcc_count,return_path_present,authentication_results_present,dkim_signature_present,spf_present,mime_version_present,content_type_present,body_url_count,unique_domain_count,http_url_count,https_url_count,body_exclamation_count,body_question_count,body_uppercase_ratio,urgent_word_count,money_word_count,credential_word_count,login_word_count,verify_word_count
1,001_legitimate.eml,0.024216312915086746,2840.0,3665.0,9.0,0.0,0.0,0.0,1.0,6510.0,60.0,10.0,0.0,0.0,0.06666666666666667,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,1.0,0.02112676056338028,0.0,0.0,1.0,0.0,0.0
21,021_legitimate.eml,0.3447251319885254,25852.0,1422.0,4.0,0.0,1.0,1.0,1.0,48403.0,44.0,8.0,0.0,0.0,0.18181818181818182,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,119.0,10.0,64.0,2.0,7.0,25.0,0.045721801021197585,0.0,0.0,7.0,0.0,0.0
24,024_legitimate.eml,0.04230654612183571,206.0,978.0,3.0,0.0,0.0,0.0,1.0,1189.0,38.0,5.0,0.0,0.0,0.02631578947368421,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.02912621359223301,0.0,0.0,0.0,0.0,0.0
25,025_legitimate.eml,0.9968229532241821,9337.0,1055.0,1.0,0.0,0.0,1.0,0.0,24990.0,38.0,5.0,0.0,0.0,0.13157894736842105,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,14.0,5.0,7.0,0.0,5.0,2.0,0.05569240655456785,0.0,0.0,1.0,0.0,2.0
29,029_legitimate.eml,0.9970799088478088,13056.0,1124.0,1.0,0.0,0.0,1.0,0.0,31821.0,42.0,5.0,0.0,0.0,0.11904761904761904,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,15.0,6.0,8.0,0.0,5.0,2.0,0.05943627450980392,0.0,4.0,1.0,0.0,0.0
41,041_legitimate.eml,0.9946385025978088,8468.0,1161.0,3.0,0.0,0.0,1.0,0.0,34710.0,62.0,10.0,0.0,0.0,0.1935483870967742,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,0.03767123287671233,0.0,1.0,0.0,0.0,0.0
64,064_legitimate.eml,0.9867255687713623,10454.0,1010.0,2.0,0.0,0.0,1.0,0.0,33578.0,64.0,12.0,0.0,0.0,0.078125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.03596709393533576,0.0,1.0,1.0,0.0,0.0
74,074_legitimate.eml,0.9976056814193726,12349.0,1125.0,1.0,0.0,0.0,1.0,0.0,31209.0,43.0,5.0,0.0,0.0,0.11627906976744186,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,15.0,6.0,8.0,0.0,3.0,7.0,0.05951898939185359,0.0,3.0,5.0,1.0,0.0
75,075_legitimate.eml,0.9929961562156677,4957.0,971.0,2.0,0.0,0.0,1.0,0.0,16821.0,43.0,6.0,0.0,1.0,0.37209302325581395,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.04236433326608836,0.0,0.0,2.0,0.0,0.0
87,087_legitimate.eml,0.9977280497550964,3442.0,1378.0,4.0,0.0,1.0,1.0,1.0,11184.0,21.0,5.0,1.0,0.0,0.14285714285714285,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.08832074375363161,0.0,0.0,1.0,0.0,0.0
92,092_legitimate.eml,0.9974130988121033,9620.0,985.0,2.0,0.0,0.0,1.0,0.0,21080.0,32.0,6.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.037422037422037424,0.0,2.0,3.0,0.0,1.0
94,094_legitimate.eml,0.9980446100234985,9047.0,1191.0,3.0,0.0,0.0,1.0,0.0,20623.0,39.0,7.0,0.0,0.0,0.4358974358974359,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.03603404443461921,0.0,2.0,4.0,0.0,0.0
